■ 역대 박스오피스 (공식통계 기준),,,,,,,,,,,
- 조회일: 2021-04-19,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,
▶ 검색조건 [ 영화구분 : 일반영화???국적 : 전체 ],,,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,,스크린수,,대표국적,국적,배급사,
,,,,(S:서울 기준),,(S:서울 기준),,,,,
170,박수건달,2013-01-09,"28,379,548,569",,"3,897,969",,599,한국,한국,(주)쇼박스,코미디
171,베놈,2018-10-03,"34,100,211,207",,"3,888,096",,"1,308",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션
172,한반도,2006-07-13,0,,"3,880,308",S,126,한국,한국,CJ ENM,드라마
173,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428",,"3,872,015",,811,한국,한국,(주)쇼박스,코미디 
174,트로이,2004-05-21,0,,"3,851,000",S,90,미국,미국,워너브러더스 코리아(주),전쟁
175,역린,2014-04-30,"29,893,297,890",,"3,849,433",,"1,054",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
176,남한산성,2017-10-03,"31,225,083,792",,"3,849,087",,"1,229",한국,한국,씨제이이앤엠(주),드라마
177,매드 맥스: 분노의 도로,2015-05-14,"32,906,364,462",,"3,842,441",,799,미국,"미국,호주",워너브러더스 코리아(주),액션
178,반도,2020-07-15,"33,072,531,280",,"3,812,250",,"2,575",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
179,암수살인,2018-10-03,"32,995,138,548",,"3,789,321",,"1,177",한국,한국,(주)쇼박스,스릴러
180,데드풀 2,2018-05-16,"34,185,664,639",,"3,784,602",,"1,576",미국,미국,이십세기폭스코리아(주),액션
181,쌍화점,2008-12-30,"25,616,489,949",,"3,779,553",,499,한국,한국,(주)쇼박스,드라마
182,국가부도의 날,2018-11-28,"30,891,765,837",,"3,754,983",,"1,180",한국,한국,씨제이이앤엠(주),드라마
183,신기전,2008-09-04,"24,314,570,667",,"3,726,134",,585,한국,한국,CJ ENM,드라마
184,미이라,2017-06-06,"30,504,689,978",,"3,689,325",,"1,257",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션
185,82년생 김지영,2019-10-23,"30,305,744,310",,"3,679,019",,"1,486",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마
186,너의 이름은.,2017-01-04,"29,564,054,156",,"3,673,885",,947,일본,일본,메가박스중앙(주)플러스엠,판타지
187,분노의 질주: 홉스&쇼,2019-08-14,"32,241,767,793",,"3,657,536",,"1,311",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션
188,분노의 질주: 더 익스트림,2017-04-12,"29,981,156,348",,"3,653,238",,"1,469",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유),액션
189,친절한 금자씨,2005-07-29,0,,"3,650,000",S,127,한국,한국,CJ ENM,스릴러
190,해리 포터와 불의 잔,2005-12-01,0,,"3,615,000",S,125,미국,미국,워너브러더스 코리아(주),판타지
191,인턴,2015-09-24,"28,518,443,148",,"3,610,642",,496,미국,미국,워너브러더스 코리아(주),코미디
192,라라랜드,2016-12-07,"30,009,452,694",,"3,597,519",,727,미국,미국,판씨네마(주),뮤지컬
193,귀향,2016-02-24,"27,248,705,990",,"3,586,929",,876,한국,한국,(주)와우픽쳐스,드라마
194,리얼 스틸,2011-10-12,"26,566,677,000",,"3,579,666",,603,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션
195,신의 한 수,2014-07-03,"28,810,921,456",,"3,566,336",,794,한국,한국,(주)쇼박스,액션
196,미스터 & 미세스 스미스,2005-06-16,0,,"3,546,900",S,103,미국,미국,이십세기폭스필름코퍼레이션,액션
197,스캔들-조선남녀상열지사,2003-10-02,,,"3,522,747",S,76,한국,한국,CJ ENM,드라마
198,코코,2018-01-11,"27,723,289,440",,"3,513,114",,"1,177",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,어린이
199,매트릭스2 리로디드,2003-05-23,0,,"3,510,000",S,102,미국,미국,워너브러더스 코리아(주),액션
200,해리 포터와 불사조 기사단,2007-07-11,0,,"3,475,000",S,204,미국,미국,워너브러더스 코리아(주),판타지
